vehicle,60ft_s,330ft_s,660ft_s,660ft_mph,1000ft_s,1320ft_s,1320ft_mph
FUNNYCAR,0.8787282220126377,2.3219623500563715,3.3666419188383334,243.53967295727855,4.231781215518111,4.980644244949797,297.0217079287869
MOTORCYC,1.7726010480500143,4.953163988396175,7.643814290895655,90.88579148773344,9.995895712996656,12.012030585179202,111.23469243275598
PROSTOCK,1.0088989815157583,2.8492113566823645,4.384267633321883,160.29888136370886,5.705902685361268,6.821717277391938,201.9852376167232
SUPERCMP,1.2275460228477035,3.6215321286949647,5.661051363243625,120.2805036935527,7.424282412558513,8.911898880715423,151.5360529430633
SUPERGAS,1.3489681772754547,4.01180998502838,6.284532912863274,107.98190490814268,8.2502612724566,9.916386188215682,134.97587590956988
TADRAG,0.8833579785766001,2.3685875484689647,3.568508973037698,204.6945408638084,4.616700080119637,5.531696681542713,242.8930658120032
