vehicle,modern_dt_s,modern_1320ft_s,legacy_1320ft_s,modern_1320ft_mph,legacy_1320ft_mph,delta_60ft_s,delta_330ft_s,delta_660ft_s,delta_660ft_mph,delta_1000ft_s,delta_1320ft_s,delta_1320ft_mph,parity_status
TADRAG,0.0025,5.535284577320225,5.531696681542713,243.18663497309493,242.8930658120032,0.008099411990659111,0.00985292541396543,0.00720210719925829,0.5307507811496066,0.004864693128427966,0.0035878957775121734,0.2935691610917388,Parity target
MOTORCYC,0.0025,12.03559217342771,12.012030585179202,110.4665895857316,111.23469243275598,-0.007793476394398979,-0.009396450422666902,-0.001705028500192718,-0.3810189406545845,0.01020375145767538,0.023561588248508514,-0.7681028470243803,Close / refine
FUNNYCAR,0.0025,4.981311319662902,4.980644244949797,297.858751429458,297.0217079287869,0.004675813290881625,0.005962247815443522,0.005359903977096625,0.33288824150272944,0.003171854573499111,0.0006670747131050092,0.8370435006710863,Close / refine
SUPERGAS,0.0025,9.917251589945495,9.916386188215682,134.13792464565773,134.97587590956988,-0.0024786143551556172,-0.012644443047755693,-0.01390118990980227,-0.07090290955861178,-0.008251159663966945,0.0008654017298130867,-0.8379512639121458,Close / refine
SUPERCMP,0.0025,8.917102581198524,8.911898880715423,150.56280046462103,151.5360529430633,-0.003490665991487951,-0.011197734161731532,-0.009444639085591788,-0.1644018809329708,-0.0034291317597245907,0.005203700483100704,-0.9732524784422765,Close / refine
PROSTOCK,0.0025,6.831570397723192,6.821717277391938,201.19946920131574,201.9852376167232,0.0034053113915384348,-0.0018669675619009674,0.0006678902967740541,-0.32377383672618976,0.005537685082899202,0.009853120331253962,-0.7857684154074605,Close / refine
