vehicle,dt_s,60ft_s,660ft_s,660ft_mph,1320ft_s,1320ft_mph,delta_ET_vs_finest_s,delta_MPH_vs_finest,stability
TADRAG,0.01,0.8914371856236919,3.5741432136414732,205.4574282301266,5.531648754933889,243.4103523407792,-0.003635822386335974,0.22371736768428718,Strong
TADRAG,0.005,0.8914385207080081,3.5749100178982247,205.31895488368983,5.53371981514497,243.265715247194,-0.0015647621752554741,0.07908027409908414,Strong
TADRAG,0.0025,0.8914573905672593,3.5757110802369563,205.22529164495802,5.535284577320225,243.18663497309493,0.0,0.0,Strong
MOTORCYC,0.01,1.76454292101009,7.617196929280339,91.0113504312752,11.983549132462562,111.2011425384006,-0.05204304096514889,0.7345529526690058,Usable / refine
MOTORCYC,0.005,1.7646564882592979,7.634443596283048,90.66634690220775,12.019063617606271,110.70783079141316,-0.01652855582143964,0.24124120568156115,Usable / refine
MOTORCYC,0.0025,1.7648075716556153,7.642109262395462,90.50477254707886,12.03559217342771,110.4665895857316,0.0,0.0,Usable / refine
FUNNYCAR,0.01,0.8832022757451975,3.371377020689034,244.02593270020574,4.980381963508407,297.88143356542196,-0.0009293561544954088,0.022682135963975725,Strong
FUNNYCAR,0.005,0.8833398978172163,3.3717791889950663,243.9286827570706,4.9809746586346035,297.8667766311632,-0.00033666102829865707,0.008025201705208929,Strong
FUNNYCAR,0.0025,0.8834040353035193,3.37200182281543,243.87256119878128,4.981311319662902,297.858751429458,0.0,0.0,Strong
SUPERGAS,0.01,1.3448877691768766,6.252971470598602,108.35393929439304,9.883445538264507,134.72090620412848,-0.0338060516809886,0.582981558470749,Usable / refine
SUPERGAS,0.005,1.3458584476554403,6.264704799834829,108.05703104940137,9.90594894268166,134.33193371788695,-0.011302647263836008,0.19400907222922115,Usable / refine
SUPERGAS,0.0025,1.346489562920299,6.270631722953472,107.91100199858407,9.917251589945495,134.13792464565773,0.0,0.0,Usable / refine
SUPERCMP,0.01,1.2225185632639868,5.637639256082116,120.52971753612593,8.890606482901763,151.1409815637733,-0.026496098296760806,0.5781810991522605,Usable / refine
SUPERCMP,0.005,1.2233314293938127,5.64616128017374,120.26397229269348,8.907285186336871,150.76132557606758,-0.009817394861652673,0.19852511144654272,Usable / refine
SUPERCMP,0.0025,1.2240553568562156,5.651606724158033,120.11610181261973,8.917102581198524,150.56280046462103,0.0,0.0,Usable / refine
PROSTOCK,0.01,1.012292765023342,4.381617680433231,160.25421233838483,6.823073573558773,201.64148740372258,-0.008496824164419436,0.4420182024068424,Strong
PROSTOCK,0.005,1.0122549558241012,4.38352579273618,160.07994640739489,6.828324048516524,201.3528078969555,-0.0032463492066678867,0.15333869563977487,Strong
PROSTOCK,0.0025,1.0123042929072967,4.384935523618657,159.97510752698267,6.831570397723192,201.19946920131574,0.0,0.0,Strong
