vehicle,modern_1320ft_s,legacy_1320ft_s,delta_1320ft_s,modern_1320ft_mph,legacy_1320ft_mph,delta_1320ft_mph,parity_status
TADRAG,5.535284577320225,5.531696681542713,0.0035878957775121734,243.18663497309493,242.8930658120032,0.2935691610917388,Parity target
MOTORCYC,12.03559217342771,12.012030585179202,0.023561588248508514,110.4665895857316,111.23469243275598,-0.7681028470243803,Close / refine
FUNNYCAR,4.981311319662902,4.980644244949797,0.0006670747131050092,297.858751429458,297.0217079287869,0.8370435006710863,Close / refine
SUPERGAS,9.917251589945495,9.916386188215682,0.0008654017298130867,134.13792464565773,134.97587590956988,-0.8379512639121458,Close / refine
SUPERCMP,8.917102581198524,8.911898880715423,0.005203700483100704,150.56280046462103,151.5360529430633,-0.9732524784422765,Close / refine
PROSTOCK,6.831570397723192,6.821717277391938,0.009853120331253962,201.19946920131574,201.9852376167232,-0.7857684154074605,Close / refine
